sample_num,length_bin,n_transcripts,n_pairwise_correlations,pearson_r_mean,pearson_r_std,pearson_pval_mean,spearman_r_mean,spearman_r_std,spearman_pval_mean
1,0-999,5548,3,0.6289898226108342,0.029889513571503913,0.0,0.5604351116032668,0.021883314619131854,0.0
1,1000-1999,3806,3,0.47084983926595275,0.06395382378143123,2.259205646613487e-167,0.4709073892711409,0.008313614792506831,1.0166305221165336e-203
1,2000-2999,1732,3,0.36644943396793295,0.06803498241468439,1.6550809649071311e-34,0.4351433278058401,0.015613101994831085,4.255595117076206e-73
1,3000-3999,745,3,0.2388622892930683,0.04236884214891441,8.78206154241309e-09,0.3562474497747095,0.014571902225875196,1.3947954780893423e-21
1,4000-4999,418,3,0.33317112405367566,0.04058263642065022,1.0979772971355965e-09,0.3188269267880394,0.008858734206579663,4.472699720717287e-11
1,5000+,491,3,0.4591963595968867,0.0819723578396428,1.2505594530755378e-15,0.2343389235879141,0.06620736886730218,0.0005641146118739475
2,0-999,4173,3,0.47232717304184857,0.017378302167673925,2.6244840710251444e-208,0.45058442487896916,0.01948564015060159,9.548415773163938e-194
2,1000-1999,3169,3,0.4080895536258297,0.026499074935753784,6.438022636774015e-105,0.4044152590620537,0.009437334442518812,3.8156605289658574e-119
2,2000-2999,1511,3,0.29833119278845244,0.005357647171843868,1.4228453814031887e-31,0.404247114299726,0.020384820003435767,1.3754388137770666e-52
2,3000-3999,675,3,0.28689842304475266,0.0373323847306177,4.4705273537847353e-11,0.3331541082282922,0.02392957678421393,3.8848358862000534e-16
2,4000-4999,418,3,0.3799608790989944,0.013060882489291834,7.622839705464182e-15,0.3446402531284858,0.04897002151254335,1.2477066834180744e-09
2,5000+,469,3,0.39142968447902643,0.059460837330383626,4.356850048784849e-15,0.2673690622563281,0.05633864960091598,2.4324518122491748e-06
3,0-999,1849,3,0.09020554411385107,0.025669972987244154,0.00543466355298828,0.27354315168585036,0.0237757014783484,3.6829696097262594e-26
3,1000-1999,1825,3,0.11402020238283728,0.024420450689772714,8.998616713174969e-05,0.2730301244032171,0.0289229207932607,4.367539728385133e-28
3,2000-2999,751,3,0.04161684658878257,0.018246659536631873,0.3103071943491877,0.20173303237927717,0.04224850592248901,5.374321594928051e-06
3,3000-3999,311,3,0.08773654573362823,0.023314313867402937,0.1553897671584187,0.1765898438597624,0.012798656755033673,0.0023564100862734257
3,4000-4999,172,3,0.05988782669805439,0.0937454542937914,0.2994847778211798,0.031503008091542196,0.03364827311544172,0.593638681284265
3,5000+,219,3,0.3916014090182709,0.037765608424773035,2.3155548112015926e-08,0.0667683495759404,0.05812608590753249,0.37729424525442834
4,0-999,2832,3,0.434146125154742,0.030281183378238034,5.975340000169812e-105,0.3619178017739575,0.018234347963706363,3.121160312097714e-76
4,1000-1999,2359,3,0.30011280459663464,0.013871818349351596,2.108552150943244e-44,0.30494805138857556,0.019059774661934127,1.8207342949989198e-46
4,2000-2999,1270,3,0.22441162480548216,0.029915918585309148,3.1608838239175384e-12,0.3127192339742753,0.028338949808777297,1.430838733581237e-23
4,3000-3999,618,3,0.17567616612432604,0.040926445645051886,0.0010497478237198009,0.20735105322754044,0.03074109756588579,1.3427296181302249e-05
4,4000-4999,348,3,0.06779838715268342,0.021018130777397715,0.24217377261469242,0.0834394698309912,0.030571681625304582,0.18454270458927527
4,5000+,448,3,0.3677381834828217,0.01060599001351598,2.9597630907748685e-15,0.16953181887095425,0.02652959266481465,0.0013283123738315708
5,0-999,1902,3,0.2155043500133036,0.025251924079266207,2.921350196224554e-18,0.2410517885213205,0.03191102758875103,4.247090645257703e-22
5,1000-1999,1910,3,0.3042027417261146,0.04850948734686613,2.1606542382210678e-26,0.2642158639666224,0.00676723879078759,3.0777389834401538e-30
5,2000-2999,920,3,0.1447376552442534,0.028030333955702473,0.00012727362362245417,0.29782358936111475,0.018857402035469022,1.4842717953009715e-18
5,3000-3999,368,3,0.11582590947409994,0.013549141387735638,0.031636465984148855,0.23730507533721235,0.04632885279929169,0.00012658344424025978
5,4000-4999,212,3,0.20054455716613842,0.045039124308058724,0.013811766903776751,0.13071735728988376,0.040112283248458044,0.09404500481928015
5,5000+,243,3,0.2882096154418339,0.05634586538665514,6.284224236754474e-05,0.10169141879689984,0.020760477079571946,0.13325136711686952
6,0-999,107,3,0.5706398356891497,0.03825608062683496,9.683855770679973e-10,0.187190007497222,0.08493973755048648,0.12920443433838955
6,1000-1999,91,3,0.09103643805227409,0.012552284999374129,0.394080646435865,0.14219886393799439,0.04748728648244327,0.2206923808717868
6,2000-2999,70,3,0.02841013363804903,0.13166451020242922,0.31131929374724315,0.04297670078441664,0.05624639581152947,0.7153537023823725
6,3000-3999,38,3,-0.06364659174240171,0.017830577599660526,0.7057391575384272,0.15286136338767917,0.027053372725291402,0.36565193066865537
6,4000-4999,43,3,-0.10286080277132931,0.06928929446262024,0.548176547023497,-0.11643008154636063,0.10550036368620193,0.42477706911708707
6,5000+,71,3,0.6941813781831625,0.0847603260211302,2.621723704113979e-09,0.1820366644310306,0.15724554627957768,0.37535985033212066
